CONSTRAINT_NAME,TABLE_NAME,COLUMN_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
fk_address_city,address,city_id,city,city_id
fk_city_country,city,country_id,country,country_id
fk_customer_address,customer,address_id,address,address_id
fk_customer_store,customer,store_id,store,store_id
fk_film_language,film,language_id,language,language_id
fk_film_language_original,film,original_language_id,language,language_id
fk_film_actor_actor,film_actor,actor_id,actor,actor_id
fk_film_actor_film,film_actor,film_id,film,film_id
fk_film_category_category,film_category,category_id,category,category_id
fk_film_category_film,film_category,film_id,film,film_id
fk_inventory_film,inventory,film_id,film,film_id
fk_inventory_store,inventory,store_id,store,store_id
fk_payment_customer,payment,customer_id,customer,customer_id
fk_payment_rental,payment,rental_id,rental,rental_id
fk_payment_staff,payment,staff_id,staff,staff_id
fk_rental_customer,rental,customer_id,customer,customer_id
fk_rental_inventory,rental,inventory_id,inventory,inventory_id
fk_rental_staff,rental,staff_id,staff,staff_id
fk_staff_address,staff,address_id,address,address_id
fk_staff_store,staff,store_id,store,store_id
fk_store_address,store,address_id,address,address_id
fk_store_staff,store,manager_staff_id,staff,staff_id
