title,length
"ACADEMY DINOSAUR",86
"ADAPTATION HOLES",50
"AIRPLANE SIERRA",62
"AIRPORT POLLOCK",54
"ALADDIN CALENDAR",63
"ALICE FANTASIA",94
"ALONE TRIP",82
"ALTER VICTORY",57
"AMELIE HELLFIGHTERS",79
"AMISTAD MIDSUMMER",85
"ANACONDA CONFESSIONS",92
"ANGELS LIFE",74
"ANNIE IDENTITY",86
"ANTHEM LUKE",91
"ANYTHING SAVANNAH",82
"APACHE DIVINE",92
"ARABIA DOGMA",62
"ARK RIDGEMONT",68
"ARMAGEDDON LOST",99
"ATTRACTION NEWTON",83
"BALLOON HOMEWARD",75
"BANG KWAI",87
"BARBARELLA STREETCAR",65
"BASIC EASY",90
"BEAST HUNCHBACK",89
"BEDAZZLED MARRIED",73
"BEHAVIOR RUNAWAY",100
"BENEATH RUSH",53
"BERETS AGENT",77
"BEVERLY OUTLAW",85
"BILKO ANONYMOUS",100
"BILL OTHERS",93
"BIRDS PERDITION",61
"BLACKOUT PRIVATE",85
"BLOOD ARGONAUTS",71
"BLUES INSTINCT",50
"BONNIE HOLOCAUST",63
"BOONDOCK BALLROOM",76
"BORROWERS BEDAZZLED",63
"BOULEVARD MOB",63
"BOUND CHEAPER",98
"BOWFINGER GABLES",72
"BRIDE INTRIGUE",56
"BRIGHT ENCOUNTERS",73
"BROTHERHOOD BLANKET",73
"BUBBLE GROSSE",60
"BULWORTH COMMANDMENTS",61
"BUNCH MINDS",63
"BUTCH PANTHER",67
"BUTTERFLY CHOCOLAT",89
"CABIN FLASH",53
"CADDYSHACK JEDI",52
"CALIFORNIA BIRDS",75
"CAMELOT VACATION",61
"CANDIDATE PERDITION",70
"CANYON STOCK",85
"CARIBBEAN LIBERTY",92
"CASABLANCA SUPER",85
"CASSIDY WYOMING",61
"CHAMPION FLATLINERS",51
"CHANCE RESURRECTION",70
"CHARADE DUFFEL",66
"CHARIOTS CONSPIRACY",71
"CHEAPER CLYDE",87
"CHINATOWN GLADIATOR",61
"CIRCUS YOUTH",90
"CLASH FREDDY",81
"CLOSER BANG",58
"CLUB GRAFFITI",65
"CLUE GRAIL",70
"CLUELESS BUCKET",95
"COAST RAINBOW",55
"COLDBLOODED DARLING",70
"COMANCHEROS ENEMY",67
"COMFORTS RUSH",76
"COMMANDMENTS EXPRESS",59
"CONFESSIONS MAGUIRE",65
"CONGENIALITY QUEST",87
"CORE SUIT",92
"CRAFT OUTFIELD",64
"CRANES RESERVOIR",57
"CROSSING DIVORCE",50
"CRUELTY UNFORGIVEN",69
"CUPBOARD SINNERS",56
"DAISY MENAGERIE",84
"DANCES NONE",58
"DARES PLUTO",89
"DARKNESS WAR",99
"DAUGHTER MADIGAN",59
"DAWN POND",57
"DEEP CRUSADE",51
"DELIVERANCE MULHOLLAND",100
"DESERT POSEIDON",64
"DESIRE ALIEN",76
"DESPERATE TRAINSPOTTING",81
"DESTINATION JERK",76
"DESTINY SATURDAY",56
"DETAILS PACKER",88
"DEVIL DESIRE",87
"DINOSAUR SECRETARY",63
"DISTURBING SCARFACE",94
"DIVIDE MONSTER",68
"DIVINE RESURRECTION",100
"DOCTOR GRAIL",57
"DOOM DANCING",68
"DRIFTER COMMANDMENTS",61
"DRUMS DYNAMITE",96
"EARLY HOME",96
"EARRING INSTINCT",98
"EARTH VISION",85
"EGG IGBY",67
